ProcessID,ProcessName,CaseID,EventSequence,EventName,EventDate,SourceSystem,TouchedBy,AutomationFlag,ReworkFlag,EventCost
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00001,1,Contract Effective,2025-03-30,Revenue Recognition,Thomas Weber,True,False,2129.77
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00001,2,Billing Data Complete,2025-04-02,Revenue Recognition,Priya Rao,False,False,4482.97
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00001,3,Fulfilled,2025-04-06,Billing,Jon Miller,True,False,6472.64
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00001,4,Billed,2025-04-11,CLM,Alex Chen,True,False,4882.09
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00001,5,Revenue Recognized,2025-04-17,Revenue Recognition,Nina Patel,True,False,7029.58
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00002,1,Contract Effective,2025-04-26,Revenue Recognition,Jon Miller,False,False,3614.25
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00002,2,Billing Data Complete,2025-04-28,Revenue Recognition,Thomas Weber,False,False,2240.44
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00002,3,Fulfilled,2025-04-28,Revenue Recognition,Kenji Tanaka,True,False,6829.35
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00002,4,Billed,2025-04-30,CLM,Nina Patel,False,False,3888.28
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00002,5,Revenue Recognized,2025-04-30,CLM,Alex Chen,False,False,1959.6
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00003,1,Contract Effective,2025-12-08,Revenue Recognition,Kenji Tanaka,True,False,7589.9
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00003,2,Billing Data Complete,2025-12-10,ERP SD,Jon Miller,False,False,361.22
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00003,3,Fulfilled,2025-12-13,ERP SD,Maria Garcia,True,False,2030.34
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00003,4,Billed,2025-12-15,Revenue Recognition,Nina Patel,True,False,1229.83
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00003,5,Revenue Recognized,2025-12-18,Billing,Sara Novak,True,False,3756.44
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00004,1,Contract Effective,2025-03-21,Revenue Recognition,Thomas Weber,False,False,314.58
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00004,2,Billing Data Complete,2025-03-24,Revenue Recognition,Jon Miller,True,True,5077.28
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00004,3,Fulfilled,2025-03-28,ERP SD,Alex Chen,False,False,1447.66
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00004,4,Billed,2025-04-01,Revenue Recognition,Priya Rao,False,False,2638.77
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00004,5,Revenue Recognized,2025-04-04,CLM,Kenji Tanaka,False,False,5891.85
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00005,1,Contract Effective,2025-08-20,CLM,Jon Miller,False,False,6421.15
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00005,2,Billing Data Complete,2025-08-21,Revenue Recognition,Jon Miller,True,False,3206.75
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00005,3,Fulfilled,2025-08-25,Revenue Recognition,Maria Garcia,True,False,4937.33
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00005,4,Billed,2025-08-26,Revenue Recognition,Alex Chen,True,False,823.44
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00005,5,Revenue Recognized,2025-08-27,Billing,Kenji Tanaka,True,False,4751.78
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00006,1,Contract Effective,2025-10-03,Billing,Thomas Weber,True,True,1448.45
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00006,2,Billing Data Complete,2025-10-07,ERP SD,Jon Miller,True,False,992.21
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00006,3,Fulfilled,2025-10-10,CLM,Maria Garcia,True,True,5623.95
