ProcessID,ProcessName,CaseID,EventSequence,EventName,EventDate,SourceSystem,TouchedBy,AutomationFlag,ReworkFlag,EventCost
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00001,1,Control Defined,2025-06-21,Audit Management,Kenji Tanaka,True,False,2279.09
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00001,2,Evidence Requested,2025-06-21,GRC,Thomas Weber,False,False,7563.32
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00001,3,Evidence Collected,2025-06-27,ERP,Thomas Weber,False,False,7385.58
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00001,4,Tested,2025-07-03,IAM,Kenji Tanaka,True,False,2759.88
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00001,5,Remediated,2025-07-08,IAM,Jon Miller,True,False,445.9
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00002,1,Control Defined,2025-07-25,IAM,Jon Miller,False,False,2000.59
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00002,2,Evidence Requested,2025-07-25,IAM,Thomas Weber,False,False,5146.51
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00002,3,Evidence Collected,2025-07-31,ERP,Nina Patel,True,False,6913.32
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00002,4,Tested,2025-08-04,ERP,Jon Miller,True,False,674.27
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00002,5,Remediated,2025-08-08,Audit Management,Alex Chen,True,False,6208.33
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00003,1,Control Defined,2026-03-10,ERP,Priya Rao,False,False,6351.51
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00003,2,Evidence Requested,2026-03-13,ERP,Kenji Tanaka,False,False,3927.12
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00003,3,Evidence Collected,2026-03-19,IAM,Priya Rao,False,True,3795.32
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00003,4,Tested,2026-03-20,GRC,Alex Chen,False,False,1883.49
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00003,5,Remediated,2026-03-26,ERP,Jon Miller,True,False,3067.6
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00004,1,Control Defined,2026-03-12,IAM,Thomas Weber,False,False,4879.35
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00004,2,Evidence Requested,2026-03-17,ERP,Priya Rao,False,False,2070.78
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00004,3,Evidence Collected,2026-03-22,ERP,Priya Rao,False,False,6313.15
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00004,4,Tested,2026-03-23,IAM,Thomas Weber,True,False,444.9
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00004,5,Remediated,2026-03-28,ERP,Jon Miller,False,False,1786.4
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00005,1,Control Defined,2025-09-20,IAM,Priya Rao,False,False,7454.29
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00005,2,Evidence Requested,2025-09-24,ERP,Nina Patel,False,False,6416.49
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00005,3,Evidence Collected,2025-09-24,ERP,Priya Rao,False,False,5822.44
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00005,4,Tested,2025-09-30,ERP,Jon Miller,True,False,1409.29
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00005,5,Remediated,2025-10-04,ERP,Thomas Weber,True,False,6876.53
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00006,1,Control Defined,2025-02-04,ERP,Sara Novak,False,False,3155.47
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00006,2,Evidence Requested,2025-02-04,GRC,Sara Novak,True,False,2757.89
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00006,3,Evidence Collected,2025-02-08,Audit Management,Kenji Tanaka,True,False,2750.23
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00006,4,Tested,2025-02-13,IAM,Sara Novak,False,False,266.48
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00006,5,Remediated,2025-02-15,Audit Management,Jon Miller,True,False,2285.29
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00007,1,Control Defined,2025-09-06,GRC,Alex Chen,False,False,7425.94
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00007,2,Evidence Requested,2025-09-06,ERP,Maria Garcia,True,False,5713.6
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00007,3,Evidence Collected,2025-09-12,GRC,Maria Garcia,False,False,6555.02
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00007,4,Tested,2025-09-12,IAM,Nina Patel,True,True,2765.1
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00007,5,Remediated,2025-09-17,ERP,Sara Novak,True,False,3625.62
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00008,1,Control Defined,2025-04-18,ERP,Maria Garcia,False,False,3511.73
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00008,2,Evidence Requested,2025-04-18,IAM,Thomas Weber,False,False,834.09
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00008,3,Evidence Collected,2025-04-19,GRC,Kenji Tanaka,True,True,4863.2
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00008,4,Tested,2025-04-23,IAM,Priya Rao,False,True,3004.2
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00008,5,Remediated,2025-04-24,GRC,Thomas Weber,True,False,5671.05
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00009,1,Control Defined,2026-01-24,ERP,Jon Miller,False,False,7493.97
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00009,2,Evidence Requested,2026-01-27,GRC,Sara Novak,True,False,1427.69
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00009,3,Evidence Collected,2026-01-28,ERP,Nina Patel,False,False,6924.91
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00009,4,Tested,2026-01-29,Audit Management,Alex Chen,False,False,6425.28
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00009,5,Remediated,2026-02-04,Audit Management,Kenji Tanaka,False,True,6624.76
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00010,1,Control Defined,2025-03-19,GRC,Alex Chen,False,True,6692.46
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00010,2,Evidence Requested,2025-03-24,IAM,Kenji Tanaka,True,False,6446.21
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00010,3,Evidence Collected,2025-03-30,GRC,Sara Novak,True,False,529.67
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00010,4,Tested,2025-04-03,IAM,Priya Rao,True,False,4930.96
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00010,5,Remediated,2025-04-08,Audit Management,Jon Miller,False,False,5179.92
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00011,1,Control Defined,2025-12-29,GRC,Sara Novak,False,False,4854.94
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00011,2,Evidence Requested,2026-01-01,GRC,Alex Chen,True,False,2799.93
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00011,3,Evidence Collected,2026-01-06,Audit Management,Sara Novak,True,False,3628.99
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00011,4,Tested,2026-01-08,GRC,Jon Miller,False,False,4449.18
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00011,5,Remediated,2026-01-12,IAM,Thomas Weber,True,False,7529.99
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00012,1,Control Defined,2025-03-31,Audit Management,Priya Rao,False,False,5113.24
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00012,2,Evidence Requested,2025-04-01,GRC,Jon Miller,True,False,1511.38
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00012,3,Evidence Collected,2025-04-02,GRC,Sara Novak,True,False,5524.54
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00012,4,Tested,2025-04-02,Audit Management,Maria Garcia,True,False,7146.72
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00012,5,Remediated,2025-04-07,IAM,Kenji Tanaka,True,False,1564.87
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00013,1,Control Defined,2025-09-19,ERP,Alex Chen,False,False,7300.65
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00013,2,Evidence Requested,2025-09-22,Audit Management,Priya Rao,False,False,2111.51
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00013,3,Evidence Collected,2025-09-25,Audit Management,Thomas Weber,False,False,7338.57
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00013,4,Tested,2025-09-25,GRC,Sara Novak,True,False,1957.98
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00013,5,Remediated,2025-09-30,ERP,Nina Patel,True,False,974.4
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00014,1,Control Defined,2026-01-09,GRC,Nina Patel,False,True,5949.04
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00014,2,Evidence Requested,2026-01-14,IAM,Kenji Tanaka,True,False,7035.54
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00014,3,Evidence Collected,2026-01-18,GRC,Kenji Tanaka,True,False,181.29
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00014,4,Tested,2026-01-21,IAM,Thomas Weber,False,False,5905.69
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00014,5,Remediated,2026-01-25,IAM,Sara Novak,False,True,5073.15
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00015,1,Control Defined,2025-06-14,GRC,Nina Patel,True,False,1728.18
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00015,2,Evidence Requested,2025-06-14,Audit Management,Alex Chen,False,False,3028.57
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00015,3,Evidence Collected,2025-06-20,Audit Management,Thomas Weber,True,False,2808.29
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00015,4,Tested,2025-06-22,GRC,Jon Miller,False,False,2334.67
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00015,5,Remediated,2025-06-28,GRC,Alex Chen,False,False,5642.86
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00016,1,Control Defined,2025-01-27,GRC,Thomas Weber,True,True,6495.09
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00016,2,Evidence Requested,2025-01-30,GRC,Sara Novak,True,False,6071.94
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00016,3,Evidence Collected,2025-02-05,ERP,Maria Garcia,True,True,4456.85
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00016,4,Tested,2025-02-09,IAM,Maria Garcia,False,False,1632.29
control2evidence,Control2Evidence,CONTROL2EVIDENCE-00016,5,Remediated,2025-02-15,IAM,Sara Novak,True,False,1934.13
