ProcessID,ProcessName,CaseID,EventSequence,EventName,EventDate,SourceSystem,TouchedBy,AutomationFlag,ReworkFlag,EventCost
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00001,1,Insight Generated,2025-03-06,Business Apps,Alex Chen,False,False,260.78
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00001,2,Owner Assigned,2025-03-11,Data Catalog,Alex Chen,True,False,3198.41
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00001,3,Action Created,2025-03-12,Data Catalog,Priya Rao,False,True,7503.02
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00001,4,Decision Made,2025-03-17,Data Catalog,Sara Novak,False,False,2079.44
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00001,5,Value Realized,2025-03-19,Action Tracker,Sara Novak,True,False,3755.07
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00002,1,Insight Generated,2025-11-10,Business Apps,Nina Patel,True,True,385.02
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00002,2,Owner Assigned,2025-11-15,Data Catalog,Sara Novak,False,False,1887.71
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00002,3,Action Created,2025-11-21,Power BI,Thomas Weber,True,False,3815.74
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00002,4,Decision Made,2025-11-22,Power BI,Priya Rao,False,False,3444.79
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00002,5,Value Realized,2025-11-24,Business Apps,Alex Chen,False,False,7452.5
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00003,1,Insight Generated,2025-04-12,Action Tracker,Sara Novak,False,False,6570.27
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00003,2,Owner Assigned,2025-04-13,Business Apps,Nina Patel,False,False,6774.84
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00003,3,Action Created,2025-04-19,Business Apps,Sara Novak,False,False,2255.46
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00003,4,Decision Made,2025-04-23,Data Catalog,Thomas Weber,False,False,5262.55
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00003,5,Value Realized,2025-04-29,Business Apps,Priya Rao,False,False,4585.5
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00004,1,Insight Generated,2025-12-02,Data Catalog,Sara Novak,True,True,7098.19
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00004,2,Owner Assigned,2025-12-08,Action Tracker,Jon Miller,False,False,7330.6
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00004,3,Action Created,2025-12-14,Power BI,Kenji Tanaka,False,False,2219.56
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00004,4,Decision Made,2025-12-16,Action Tracker,Nina Patel,True,False,2142.83
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00004,5,Value Realized,2025-12-16,Business Apps,Alex Chen,False,False,3366.17
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00005,1,Insight Generated,2025-05-25,Data Catalog,Jon Miller,False,False,7479.85
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00005,2,Owner Assigned,2025-05-31,Data Catalog,Alex Chen,True,False,2392.26
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00005,3,Action Created,2025-05-31,Data Catalog,Priya Rao,True,False,537.82
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00005,4,Decision Made,2025-06-02,Action Tracker,Priya Rao,True,False,4482.21
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00005,5,Value Realized,2025-06-06,Data Catalog,Thomas Weber,False,False,5934.27
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00006,1,Insight Generated,2025-09-06,Action Tracker,Priya Rao,True,False,1482.73
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00006,2,Owner Assigned,2025-09-11,Action Tracker,Priya Rao,False,False,6623.6
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00006,3,Action Created,2025-09-17,Business Apps,Kenji Tanaka,True,False,6455.84
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00006,4,Decision Made,2025-09-23,Power BI,Sara Novak,True,True,3225.03
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00006,5,Value Realized,2025-09-29,Power BI,Thomas Weber,False,False,1339.37
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00007,1,Insight Generated,2026-03-22,Power BI,Alex Chen,True,False,7059.56
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00007,2,Owner Assigned,2026-03-22,Action Tracker,Thomas Weber,False,False,2952.78
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00007,3,Action Created,2026-03-22,Business Apps,Jon Miller,False,False,3188.56
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00007,4,Decision Made,2026-03-26,Data Catalog,Jon Miller,True,False,7820.8
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00007,5,Value Realized,2026-03-31,Action Tracker,Thomas Weber,False,True,1109.75
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00008,1,Insight Generated,2025-02-14,Business Apps,Alex Chen,True,False,7282.63
data2insight2action,Data2Insight2Action,DATA2INSIGHT2ACTION-00008,2,Owner Assigned,2025-02-20,Action Tracker,Alex Chen,True,False,2034.78
