ProcessID,ProcessName,CaseID,EventSequence,EventName,EventDate,SourceSystem,TouchedBy,AutomationFlag,ReworkFlag,EventCost
dock2stock,Dock2Stock,DOCK2STOCK-00001,1,ASN Received,2025-08-26,QMS,Maria Garcia,True,False,2224.1
dock2stock,Dock2Stock,DOCK2STOCK-00001,2,Truck Arrived,2025-09-01,Yard Management,Jon Miller,False,False,7527.3
dock2stock,Dock2Stock,DOCK2STOCK-00001,3,Goods Received,2025-09-03,WMS,Alex Chen,False,True,4667.73
dock2stock,Dock2Stock,DOCK2STOCK-00001,4,Quality Released,2025-09-04,QMS,Kenji Tanaka,True,True,6928.29
dock2stock,Dock2Stock,DOCK2STOCK-00001,5,Putaway Complete,2025-09-09,ERP MM,Sara Novak,False,False,2645.22
dock2stock,Dock2Stock,DOCK2STOCK-00002,1,ASN Received,2026-02-17,WMS,Priya Rao,False,False,3987.28
dock2stock,Dock2Stock,DOCK2STOCK-00002,2,Truck Arrived,2026-02-18,Yard Management,Alex Chen,True,False,523.9
dock2stock,Dock2Stock,DOCK2STOCK-00002,3,Goods Received,2026-02-23,ERP MM,Sara Novak,False,False,4861.01
dock2stock,Dock2Stock,DOCK2STOCK-00002,4,Quality Released,2026-02-26,ERP MM,Nina Patel,True,False,6971.78
dock2stock,Dock2Stock,DOCK2STOCK-00002,5,Putaway Complete,2026-02-27,Yard Management,Priya Rao,True,False,2430.97
dock2stock,Dock2Stock,DOCK2STOCK-00003,1,ASN Received,2025-04-01,ERP MM,Priya Rao,False,False,5379.9
dock2stock,Dock2Stock,DOCK2STOCK-00003,2,Truck Arrived,2025-04-04,QMS,Kenji Tanaka,True,False,5906.31
dock2stock,Dock2Stock,DOCK2STOCK-00003,3,Goods Received,2025-04-04,ERP MM,Priya Rao,False,False,5731.53
dock2stock,Dock2Stock,DOCK2STOCK-00003,4,Quality Released,2025-04-08,QMS,Maria Garcia,True,False,4629.93
dock2stock,Dock2Stock,DOCK2STOCK-00003,5,Putaway Complete,2025-04-14,QMS,Alex Chen,True,False,7806.2
dock2stock,Dock2Stock,DOCK2STOCK-00004,1,ASN Received,2025-04-22,QMS,Alex Chen,False,False,2717.35
dock2stock,Dock2Stock,DOCK2STOCK-00004,2,Truck Arrived,2025-04-28,ERP MM,Thomas Weber,False,False,7464.39
dock2stock,Dock2Stock,DOCK2STOCK-00004,3,Goods Received,2025-04-29,WMS,Jon Miller,True,False,2275.35
dock2stock,Dock2Stock,DOCK2STOCK-00004,4,Quality Released,2025-05-05,WMS,Nina Patel,True,False,3627.93
dock2stock,Dock2Stock,DOCK2STOCK-00004,5,Putaway Complete,2025-05-05,Yard Management,Maria Garcia,True,False,3611.71
dock2stock,Dock2Stock,DOCK2STOCK-00005,1,ASN Received,2025-01-09,Yard Management,Kenji Tanaka,False,False,1468.48
dock2stock,Dock2Stock,DOCK2STOCK-00005,2,Truck Arrived,2025-01-11,Yard Management,Priya Rao,False,False,2758.47
dock2stock,Dock2Stock,DOCK2STOCK-00005,3,Goods Received,2025-01-16,Yard Management,Kenji Tanaka,True,False,3247.54
dock2stock,Dock2Stock,DOCK2STOCK-00005,4,Quality Released,2025-01-22,QMS,Maria Garcia,False,True,442.18
dock2stock,Dock2Stock,DOCK2STOCK-00005,5,Putaway Complete,2025-01-23,WMS,Maria Garcia,True,False,189.64
dock2stock,Dock2Stock,DOCK2STOCK-00006,1,ASN Received,2025-11-03,WMS,Kenji Tanaka,False,False,4956.89
dock2stock,Dock2Stock,DOCK2STOCK-00006,2,Truck Arrived,2025-11-09,QMS,Nina Patel,False,False,4618.46
dock2stock,Dock2Stock,DOCK2STOCK-00006,3,Goods Received,2025-11-12,Yard Management,Jon Miller,True,False,1541.67
dock2stock,Dock2Stock,DOCK2STOCK-00006,4,Quality Released,2025-11-14,WMS,Alex Chen,True,False,3262.16
dock2stock,Dock2Stock,DOCK2STOCK-00006,5,Putaway Complete,2025-11-14,ERP MM,Thomas Weber,False,True,5158.78
dock2stock,Dock2Stock,DOCK2STOCK-00007,1,ASN Received,2025-02-17,Yard Management,Sara Novak,False,False,232.23
dock2stock,Dock2Stock,DOCK2STOCK-00007,2,Truck Arrived,2025-02-22,Yard Management,Sara Novak,True,False,4072.56
dock2stock,Dock2Stock,DOCK2STOCK-00007,3,Goods Received,2025-02-27,WMS,Nina Patel,True,False,3124.38
dock2stock,Dock2Stock,DOCK2STOCK-00007,4,Quality Released,2025-03-04,QMS,Nina Patel,False,False,6084.05
dock2stock,Dock2Stock,DOCK2STOCK-00007,5,Putaway Complete,2025-03-07,ERP MM,Kenji Tanaka,True,False,4383.32
dock2stock,Dock2Stock,DOCK2STOCK-00008,1,ASN Received,2025-02-23,QMS,Thomas Weber,False,False,2360.7
dock2stock,Dock2Stock,DOCK2STOCK-00008,2,Truck Arrived,2025-03-01,WMS,Maria Garcia,False,False,3037.83
dock2stock,Dock2Stock,DOCK2STOCK-00008,3,Goods Received,2025-03-06,WMS,Thomas Weber,True,False,2715.21
dock2stock,Dock2Stock,DOCK2STOCK-00008,4,Quality Released,2025-03-12,WMS,Sara Novak,False,False,7334.75
dock2stock,Dock2Stock,DOCK2STOCK-00008,5,Putaway Complete,2025-03-12,Yard Management,Alex Chen,True,True,296.27
dock2stock,Dock2Stock,DOCK2STOCK-00009,1,ASN Received,2026-01-22,WMS,Sara Novak,False,False,6301.15
dock2stock,Dock2Stock,DOCK2STOCK-00009,2,Truck Arrived,2026-01-24,WMS,Kenji Tanaka,True,True,7358.03
dock2stock,Dock2Stock,DOCK2STOCK-00009,3,Goods Received,2026-01-27,Yard Management,Sara Novak,False,False,4985.86
dock2stock,Dock2Stock,DOCK2STOCK-00009,4,Quality Released,2026-01-30,Yard Management,Thomas Weber,False,False,2038.14
dock2stock,Dock2Stock,DOCK2STOCK-00009,5,Putaway Complete,2026-01-30,QMS,Jon Miller,True,False,694.42
dock2stock,Dock2Stock,DOCK2STOCK-00010,1,ASN Received,2025-06-22,ERP MM,Kenji Tanaka,False,False,4511.09
dock2stock,Dock2Stock,DOCK2STOCK-00010,2,Truck Arrived,2025-06-23,QMS,Maria Garcia,True,False,4841.74
dock2stock,Dock2Stock,DOCK2STOCK-00010,3,Goods Received,2025-06-25,WMS,Maria Garcia,True,False,1471.56
dock2stock,Dock2Stock,DOCK2STOCK-00010,4,Quality Released,2025-06-29,QMS,Maria Garcia,True,False,652.62
dock2stock,Dock2Stock,DOCK2STOCK-00010,5,Putaway Complete,2025-07-03,ERP MM,Jon Miller,False,False,1388.54
dock2stock,Dock2Stock,DOCK2STOCK-00011,1,ASN Received,2025-06-17,Yard Management,Sara Novak,False,True,2401.09
dock2stock,Dock2Stock,DOCK2STOCK-00011,2,Truck Arrived,2025-06-19,ERP MM,Sara Novak,True,True,6959.25
dock2stock,Dock2Stock,DOCK2STOCK-00011,3,Goods Received,2025-06-25,QMS,Nina Patel,False,False,7560.45
dock2stock,Dock2Stock,DOCK2STOCK-00011,4,Quality Released,2025-07-01,QMS,Nina Patel,True,False,6962.02
dock2stock,Dock2Stock,DOCK2STOCK-00011,5,Putaway Complete,2025-07-07,Yard Management,Kenji Tanaka,False,False,5666.53
dock2stock,Dock2Stock,DOCK2STOCK-00012,1,ASN Received,2025-06-17,Yard Management,Alex Chen,False,True,5990.71
dock2stock,Dock2Stock,DOCK2STOCK-00012,2,Truck Arrived,2025-06-17,WMS,Jon Miller,True,False,3143.01
dock2stock,Dock2Stock,DOCK2STOCK-00012,3,Goods Received,2025-06-21,Yard Management,Jon Miller,True,True,3619.05
dock2stock,Dock2Stock,DOCK2STOCK-00012,4,Quality Released,2025-06-23,Yard Management,Sara Novak,True,False,6566.78
dock2stock,Dock2Stock,DOCK2STOCK-00012,5,Putaway Complete,2025-06-24,ERP MM,Priya Rao,False,False,7949.35
dock2stock,Dock2Stock,DOCK2STOCK-00013,1,ASN Received,2026-02-07,ERP MM,Jon Miller,False,False,2522.7
dock2stock,Dock2Stock,DOCK2STOCK-00013,2,Truck Arrived,2026-02-08,QMS,Nina Patel,True,False,7473.45
dock2stock,Dock2Stock,DOCK2STOCK-00013,3,Goods Received,2026-02-10,WMS,Thomas Weber,True,False,7053.78
dock2stock,Dock2Stock,DOCK2STOCK-00013,4,Quality Released,2026-02-12,QMS,Nina Patel,False,False,3368.21
dock2stock,Dock2Stock,DOCK2STOCK-00013,5,Putaway Complete,2026-02-17,ERP MM,Sara Novak,True,False,3277.01
dock2stock,Dock2Stock,DOCK2STOCK-00014,1,ASN Received,2026-01-24,ERP MM,Thomas Weber,False,True,3820.7
dock2stock,Dock2Stock,DOCK2STOCK-00014,2,Truck Arrived,2026-01-28,Yard Management,Alex Chen,True,False,1274.65
dock2stock,Dock2Stock,DOCK2STOCK-00014,3,Goods Received,2026-01-29,WMS,Sara Novak,False,False,3520.93
dock2stock,Dock2Stock,DOCK2STOCK-00014,4,Quality Released,2026-01-29,WMS,Alex Chen,True,False,2307.86
