ProcessID,ProcessName,CaseID,EventSequence,EventName,EventDate,SourceSystem,TouchedBy,AutomationFlag,ReworkFlag,EventCost
forecast2plan,Forecast2Plan,FORECAST2PLAN-00001,1,Demand Signal Captured,2026-02-21,Data Warehouse,Alex Chen,False,True,3729.69
forecast2plan,Forecast2Plan,FORECAST2PLAN-00001,2,Baseline Forecast,2026-02-25,Demand Planning,Kenji Tanaka,True,False,4095.83
forecast2plan,Forecast2Plan,FORECAST2PLAN-00001,3,Consensus Forecast,2026-02-27,Data Warehouse,Jon Miller,True,False,3653.41
forecast2plan,Forecast2Plan,FORECAST2PLAN-00001,4,S&OP Approved,2026-03-02,ERP PP,Jon Miller,False,False,4564.35
forecast2plan,Forecast2Plan,FORECAST2PLAN-00001,5,Plan Released,2026-03-04,ERP PP,Maria Garcia,True,True,3933.61
forecast2plan,Forecast2Plan,FORECAST2PLAN-00002,1,Demand Signal Captured,2025-02-13,Demand Planning,Sara Novak,True,False,3021.27
forecast2plan,Forecast2Plan,FORECAST2PLAN-00002,2,Baseline Forecast,2025-02-19,IBP,Alex Chen,False,False,6926.14
forecast2plan,Forecast2Plan,FORECAST2PLAN-00002,3,Consensus Forecast,2025-02-19,Data Warehouse,Thomas Weber,False,False,1757.7
forecast2plan,Forecast2Plan,FORECAST2PLAN-00002,4,S&OP Approved,2025-02-23,ERP PP,Sara Novak,False,False,5532.02
forecast2plan,Forecast2Plan,FORECAST2PLAN-00002,5,Plan Released,2025-02-24,Demand Planning,Nina Patel,False,False,4908.41
forecast2plan,Forecast2Plan,FORECAST2PLAN-00003,1,Demand Signal Captured,2025-10-07,Data Warehouse,Jon Miller,True,False,3638.6
forecast2plan,Forecast2Plan,FORECAST2PLAN-00003,2,Baseline Forecast,2025-10-08,IBP,Maria Garcia,True,True,1626.3
forecast2plan,Forecast2Plan,FORECAST2PLAN-00003,3,Consensus Forecast,2025-10-08,IBP,Nina Patel,True,False,952.78
forecast2plan,Forecast2Plan,FORECAST2PLAN-00003,4,S&OP Approved,2025-10-14,IBP,Sara Novak,False,False,1926.28
forecast2plan,Forecast2Plan,FORECAST2PLAN-00003,5,Plan Released,2025-10-14,IBP,Kenji Tanaka,True,False,3312.6
forecast2plan,Forecast2Plan,FORECAST2PLAN-00004,1,Demand Signal Captured,2025-10-16,Data Warehouse,Sara Novak,True,False,4619.97
forecast2plan,Forecast2Plan,FORECAST2PLAN-00004,2,Baseline Forecast,2025-10-18,ERP PP,Priya Rao,True,False,7683.33
forecast2plan,Forecast2Plan,FORECAST2PLAN-00004,3,Consensus Forecast,2025-10-18,Data Warehouse,Jon Miller,False,False,4327.26
forecast2plan,Forecast2Plan,FORECAST2PLAN-00004,4,S&OP Approved,2025-10-23,IBP,Alex Chen,True,False,5979.2
forecast2plan,Forecast2Plan,FORECAST2PLAN-00004,5,Plan Released,2025-10-28,ERP PP,Thomas Weber,False,False,6555.11
forecast2plan,Forecast2Plan,FORECAST2PLAN-00005,1,Demand Signal Captured,2025-02-21,ERP PP,Sara Novak,True,True,257.39
forecast2plan,Forecast2Plan,FORECAST2PLAN-00005,2,Baseline Forecast,2025-02-25,ERP PP,Jon Miller,False,False,3545.96
forecast2plan,Forecast2Plan,FORECAST2PLAN-00005,3,Consensus Forecast,2025-03-01,Data Warehouse,Jon Miller,True,False,5391.94
