ProcessID,ProcessName,CaseID,EventSequence,EventName,EventDate,SourceSystem,TouchedBy,AutomationFlag,ReworkFlag,EventCost
hire2retire,Hire2Retire,HIRE2RETIRE-00001,1,Requisition Opened,2025-04-12,Time Management,Priya Rao,False,False,1112.1
hire2retire,Hire2Retire,HIRE2RETIRE-00001,2,Candidate Hired,2025-04-13,Learning,Jon Miller,True,False,2984.26
hire2retire,Hire2Retire,HIRE2RETIRE-00001,3,Onboarded,2025-04-16,Time Management,Maria Garcia,True,False,2547.51
hire2retire,Hire2Retire,HIRE2RETIRE-00001,4,Trained,2025-04-18,EHS,Sara Novak,False,True,3987.85
hire2retire,Hire2Retire,HIRE2RETIRE-00001,5,Role Changed,2025-04-21,Learning,Sara Novak,True,False,3105.03
hire2retire,Hire2Retire,HIRE2RETIRE-00002,1,Requisition Opened,2025-12-10,Learning,Jon Miller,True,False,1232.32
hire2retire,Hire2Retire,HIRE2RETIRE-00002,2,Candidate Hired,2025-12-11,HCM,Alex Chen,True,False,5068.69
hire2retire,Hire2Retire,HIRE2RETIRE-00002,3,Onboarded,2025-12-16,Time Management,Sara Novak,False,False,348.61
hire2retire,Hire2Retire,HIRE2RETIRE-00002,4,Trained,2025-12-22,Time Management,Sara Novak,False,True,1010.46
hire2retire,Hire2Retire,HIRE2RETIRE-00002,5,Role Changed,2025-12-23,EHS,Kenji Tanaka,False,False,245.13
hire2retire,Hire2Retire,HIRE2RETIRE-00003,1,Requisition Opened,2025-10-20,EHS,Kenji Tanaka,False,False,6816.57
hire2retire,Hire2Retire,HIRE2RETIRE-00003,2,Candidate Hired,2025-10-26,Learning,Sara Novak,False,False,6399.28
hire2retire,Hire2Retire,HIRE2RETIRE-00003,3,Onboarded,2025-10-27,Time Management,Priya Rao,True,False,3294.65
hire2retire,Hire2Retire,HIRE2RETIRE-00003,4,Trained,2025-11-02,HCM,Kenji Tanaka,True,False,1382.69
hire2retire,Hire2Retire,HIRE2RETIRE-00003,5,Role Changed,2025-11-06,EHS,Nina Patel,False,False,6895.82
hire2retire,Hire2Retire,HIRE2RETIRE-00004,1,Requisition Opened,2025-08-01,Time Management,Priya Rao,True,False,6974.55
hire2retire,Hire2Retire,HIRE2RETIRE-00004,2,Candidate Hired,2025-08-07,Time Management,Kenji Tanaka,True,False,6812.69
hire2retire,Hire2Retire,HIRE2RETIRE-00004,3,Onboarded,2025-08-07,Time Management,Nina Patel,True,False,3707.19
hire2retire,Hire2Retire,HIRE2RETIRE-00004,4,Trained,2025-08-11,EHS,Jon Miller,False,False,4390.63
hire2retire,Hire2Retire,HIRE2RETIRE-00004,5,Role Changed,2025-08-13,Learning,Nina Patel,False,False,1136.91
hire2retire,Hire2Retire,HIRE2RETIRE-00005,1,Requisition Opened,2025-04-03,HCM,Thomas Weber,False,False,1334.26
hire2retire,Hire2Retire,HIRE2RETIRE-00005,2,Candidate Hired,2025-04-03,EHS,Priya Rao,True,False,1968.03
hire2retire,Hire2Retire,HIRE2RETIRE-00005,3,Onboarded,2025-04-03,HCM,Alex Chen,True,False,4390.38
hire2retire,Hire2Retire,HIRE2RETIRE-00005,4,Trained,2025-04-09,EHS,Priya Rao,False,False,4131.81
hire2retire,Hire2Retire,HIRE2RETIRE-00005,5,Role Changed,2025-04-13,Time Management,Priya Rao,False,False,6501.25
hire2retire,Hire2Retire,HIRE2RETIRE-00006,1,Requisition Opened,2025-08-21,Time Management,Priya Rao,True,False,7454.29
hire2retire,Hire2Retire,HIRE2RETIRE-00006,2,Candidate Hired,2025-08-27,EHS,Alex Chen,True,False,1321.58
hire2retire,Hire2Retire,HIRE2RETIRE-00006,3,Onboarded,2025-08-31,Learning,Alex Chen,False,False,2281.36
hire2retire,Hire2Retire,HIRE2RETIRE-00006,4,Trained,2025-09-02,EHS,Sara Novak,True,False,1605.39
hire2retire,Hire2Retire,HIRE2RETIRE-00006,5,Role Changed,2025-09-04,EHS,Alex Chen,True,False,7748.63
hire2retire,Hire2Retire,HIRE2RETIRE-00007,1,Requisition Opened,2025-12-09,HCM,Priya Rao,True,False,4967.78
hire2retire,Hire2Retire,HIRE2RETIRE-00007,2,Candidate Hired,2025-12-14,Learning,Priya Rao,True,True,4136.33
hire2retire,Hire2Retire,HIRE2RETIRE-00007,3,Onboarded,2025-12-14,EHS,Nina Patel,True,False,1538.27
hire2retire,Hire2Retire,HIRE2RETIRE-00007,4,Trained,2025-12-15,HCM,Kenji Tanaka,True,False,6103.55
hire2retire,Hire2Retire,HIRE2RETIRE-00007,5,Role Changed,2025-12-21,Time Management,Priya Rao,True,False,6109.29
hire2retire,Hire2Retire,HIRE2RETIRE-00008,1,Requisition Opened,2025-01-04,Time Management,Kenji Tanaka,False,False,3625.27
hire2retire,Hire2Retire,HIRE2RETIRE-00008,2,Candidate Hired,2025-01-08,EHS,Sara Novak,True,False,5314.5
hire2retire,Hire2Retire,HIRE2RETIRE-00008,3,Onboarded,2025-01-10,Learning,Kenji Tanaka,True,True,1897.97
hire2retire,Hire2Retire,HIRE2RETIRE-00008,4,Trained,2025-01-12,HCM,Jon Miller,True,False,5125.07
hire2retire,Hire2Retire,HIRE2RETIRE-00008,5,Role Changed,2025-01-12,Time Management,Sara Novak,False,False,4303.36
hire2retire,Hire2Retire,HIRE2RETIRE-00009,1,Requisition Opened,2025-12-21,HCM,Kenji Tanaka,True,True,4683.52
hire2retire,Hire2Retire,HIRE2RETIRE-00009,2,Candidate Hired,2025-12-22,EHS,Kenji Tanaka,True,False,1629.1
hire2retire,Hire2Retire,HIRE2RETIRE-00009,3,Onboarded,2025-12-26,HCM,Sara Novak,False,False,52.19
hire2retire,Hire2Retire,HIRE2RETIRE-00009,4,Trained,2025-12-27,Learning,Kenji Tanaka,False,False,6414.59
hire2retire,Hire2Retire,HIRE2RETIRE-00009,5,Role Changed,2025-12-29,Learning,Nina Patel,False,False,3768.6
hire2retire,Hire2Retire,HIRE2RETIRE-00010,1,Requisition Opened,2025-04-15,Learning,Kenji Tanaka,False,False,811.75
hire2retire,Hire2Retire,HIRE2RETIRE-00010,2,Candidate Hired,2025-04-20,HCM,Maria Garcia,True,True,1329.68
hire2retire,Hire2Retire,HIRE2RETIRE-00010,3,Onboarded,2025-04-23,Learning,Kenji Tanaka,False,False,2835.09
hire2retire,Hire2Retire,HIRE2RETIRE-00010,4,Trained,2025-04-29,Learning,Sara Novak,False,True,2835.22
hire2retire,Hire2Retire,HIRE2RETIRE-00010,5,Role Changed,2025-05-04,HCM,Thomas Weber,True,False,1072.79
hire2retire,Hire2Retire,HIRE2RETIRE-00011,1,Requisition Opened,2025-01-26,Learning,Jon Miller,True,False,2637.48
hire2retire,Hire2Retire,HIRE2RETIRE-00011,2,Candidate Hired,2025-01-28,Learning,Maria Garcia,False,False,5185.14
hire2retire,Hire2Retire,HIRE2RETIRE-00011,3,Onboarded,2025-02-03,EHS,Sara Novak,True,False,4820.17
hire2retire,Hire2Retire,HIRE2RETIRE-00011,4,Trained,2025-02-04,HCM,Sara Novak,False,False,7106.41
hire2retire,Hire2Retire,HIRE2RETIRE-00011,5,Role Changed,2025-02-09,EHS,Sara Novak,True,False,7643.8
hire2retire,Hire2Retire,HIRE2RETIRE-00012,1,Requisition Opened,2026-02-25,Learning,Alex Chen,True,True,530.18
hire2retire,Hire2Retire,HIRE2RETIRE-00012,2,Candidate Hired,2026-03-03,EHS,Alex Chen,False,False,477.7
hire2retire,Hire2Retire,HIRE2RETIRE-00012,3,Onboarded,2026-03-07,Time Management,Thomas Weber,False,True,4057.39
hire2retire,Hire2Retire,HIRE2RETIRE-00012,4,Trained,2026-03-10,Time Management,Maria Garcia,True,False,201.62
hire2retire,Hire2Retire,HIRE2RETIRE-00012,5,Role Changed,2026-03-15,EHS,Nina Patel,True,False,2558.17
hire2retire,Hire2Retire,HIRE2RETIRE-00013,1,Requisition Opened,2025-02-24,Learning,Thomas Weber,False,False,1533.23
