ProcessID,ProcessName,CaseID,EventSequence,EventName,EventDate,SourceSystem,TouchedBy,AutomationFlag,ReworkFlag,EventCost
incident2action,Incident2Action,INCIDENT2ACTION-00001,1,Incident Reported,2025-04-06,Action Tracking,Maria Garcia,False,False,3415.33
incident2action,Incident2Action,INCIDENT2ACTION-00001,2,Triage Complete,2025-04-07,Action Tracking,Maria Garcia,False,False,6197.9
incident2action,Incident2Action,INCIDENT2ACTION-00001,3,Investigation Complete,2025-04-09,HR,Nina Patel,True,False,5403.8
incident2action,Incident2Action,INCIDENT2ACTION-00001,4,Action Assigned,2025-04-12,GRC,Sara Novak,False,False,5138.27
incident2action,Incident2Action,INCIDENT2ACTION-00001,5,Action Closed,2025-04-18,GRC,Sara Novak,False,True,306.53
incident2action,Incident2Action,INCIDENT2ACTION-00002,1,Incident Reported,2025-12-25,GRC,Sara Novak,True,False,5492.84
incident2action,Incident2Action,INCIDENT2ACTION-00002,2,Triage Complete,2025-12-25,EHS,Sara Novak,True,False,2916.08
incident2action,Incident2Action,INCIDENT2ACTION-00002,3,Investigation Complete,2025-12-29,HR,Priya Rao,True,False,7869.97
incident2action,Incident2Action,INCIDENT2ACTION-00002,4,Action Assigned,2026-01-02,GRC,Maria Garcia,True,False,3665.48
incident2action,Incident2Action,INCIDENT2ACTION-00002,5,Action Closed,2026-01-05,Action Tracking,Kenji Tanaka,False,False,5172.89
incident2action,Incident2Action,INCIDENT2ACTION-00003,1,Incident Reported,2025-08-06,GRC,Maria Garcia,True,False,1562.21
incident2action,Incident2Action,INCIDENT2ACTION-00003,2,Triage Complete,2025-08-10,GRC,Jon Miller,False,False,4588.23
incident2action,Incident2Action,INCIDENT2ACTION-00003,3,Investigation Complete,2025-08-13,Action Tracking,Maria Garcia,True,False,870.93
incident2action,Incident2Action,INCIDENT2ACTION-00003,4,Action Assigned,2025-08-13,EHS,Kenji Tanaka,True,False,5831.73
incident2action,Incident2Action,INCIDENT2ACTION-00003,5,Action Closed,2025-08-18,GRC,Alex Chen,False,False,1286.49
