ProcessID,ProcessName,CaseID,EventSequence,EventName,EventDate,SourceSystem,TouchedBy,AutomationFlag,ReworkFlag,EventCost
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00001,1,Asset Installed,2025-12-16,Installed Base,Sara Novak,True,False,2596.33
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00001,2,Contract Offered,2025-12-20,FSM,Thomas Weber,True,False,2940.47
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00001,3,Service Delivered,2025-12-26,CRM Service,Sara Novak,True,False,6115.62
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00001,4,Renewal Proposed,2025-12-29,FSM,Kenji Tanaka,True,False,2559.3
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00001,5,Revenue Captured,2025-12-30,Installed Base,Nina Patel,True,True,3063.34
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00002,1,Asset Installed,2025-08-17,CRM Service,Kenji Tanaka,True,False,2494.62
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00002,2,Contract Offered,2025-08-22,CRM Service,Kenji Tanaka,False,False,5614.98
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00002,3,Service Delivered,2025-08-23,CRM Service,Maria Garcia,False,False,6147.55
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00002,4,Renewal Proposed,2025-08-27,CRM Service,Maria Garcia,True,True,2579.61
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00002,5,Revenue Captured,2025-09-02,FSM,Alex Chen,False,False,764.66
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00003,1,Asset Installed,2026-03-31,Installed Base,Thomas Weber,True,False,5690.07
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00003,2,Contract Offered,2026-04-02,CRM Service,Jon Miller,True,False,6244.16
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00003,3,Service Delivered,2026-04-03,FSM,Maria Garcia,False,False,6204.18
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00003,4,Renewal Proposed,2026-04-09,Billing,Jon Miller,True,False,7144.09
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00003,5,Revenue Captured,2026-04-15,Billing,Jon Miller,False,False,2155.15
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00004,1,Asset Installed,2025-11-05,FSM,Alex Chen,False,False,2600.93
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00004,2,Contract Offered,2025-11-06,CRM Service,Kenji Tanaka,True,False,115.81
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00004,3,Service Delivered,2025-11-07,Installed Base,Jon Miller,False,True,1805.68
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00004,4,Renewal Proposed,2025-11-08,FSM,Jon Miller,True,False,2615.33
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00004,5,Revenue Captured,2025-11-13,Installed Base,Alex Chen,False,False,7741.48
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00005,1,Asset Installed,2025-06-07,FSM,Sara Novak,True,True,4584.28
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00005,2,Contract Offered,2025-06-08,CRM Service,Nina Patel,False,False,6632.0
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00005,3,Service Delivered,2025-06-14,Installed Base,Thomas Weber,False,False,3003.76
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00005,4,Renewal Proposed,2025-06-17,CRM Service,Maria Garcia,False,False,2847.84
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00005,5,Revenue Captured,2025-06-19,Billing,Kenji Tanaka,True,False,3876.71
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00006,1,Asset Installed,2025-04-25,Billing,Priya Rao,False,False,7518.03
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00006,2,Contract Offered,2025-04-27,CRM Service,Kenji Tanaka,True,True,7863.37
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00006,3,Service Delivered,2025-05-03,FSM,Alex Chen,True,True,2016.17
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00006,4,Renewal Proposed,2025-05-04,Installed Base,Priya Rao,False,False,2792.03
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00006,5,Revenue Captured,2025-05-10,Billing,Alex Chen,False,False,7188.57
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00007,1,Asset Installed,2025-07-05,Installed Base,Thomas Weber,True,False,2296.89
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00007,2,Contract Offered,2025-07-06,FSM,Alex Chen,False,False,2923.09
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00007,3,Service Delivered,2025-07-11,Billing,Jon Miller,True,False,5932.87
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00007,4,Renewal Proposed,2025-07-17,Billing,Priya Rao,False,False,7648.39
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00007,5,Revenue Captured,2025-07-18,CRM Service,Kenji Tanaka,True,False,5528.49
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00008,1,Asset Installed,2025-11-18,Billing,Priya Rao,True,False,6846.45
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00008,2,Contract Offered,2025-11-22,FSM,Priya Rao,True,False,7506.17
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00008,3,Service Delivered,2025-11-27,FSM,Alex Chen,True,False,6094.91
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00008,4,Renewal Proposed,2025-11-29,Installed Base,Nina Patel,True,False,6825.4
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00008,5,Revenue Captured,2025-11-30,CRM Service,Jon Miller,True,False,1954.64
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00009,1,Asset Installed,2025-03-29,FSM,Nina Patel,False,True,6391.07
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00009,2,Contract Offered,2025-03-31,CRM Service,Sara Novak,False,False,6356.21
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00009,3,Service Delivered,2025-04-02,Installed Base,Nina Patel,True,False,4994.03
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00009,4,Renewal Proposed,2025-04-06,FSM,Maria Garcia,False,False,6141.79
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00009,5,Revenue Captured,2025-04-11,Installed Base,Priya Rao,False,False,4556.48
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00010,1,Asset Installed,2025-09-27,Installed Base,Alex Chen,False,False,4128.07
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00010,2,Contract Offered,2025-10-01,FSM,Nina Patel,False,False,1877.5
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00010,3,Service Delivered,2025-10-06,FSM,Kenji Tanaka,True,False,723.73
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00010,4,Renewal Proposed,2025-10-12,CRM Service,Jon Miller,False,False,5156.36
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00010,5,Revenue Captured,2025-10-17,FSM,Thomas Weber,False,False,176.75
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00011,1,Asset Installed,2025-02-03,CRM Service,Jon Miller,False,False,4114.76
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00011,2,Contract Offered,2025-02-08,CRM Service,Alex Chen,True,True,1620.88
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00011,3,Service Delivered,2025-02-10,CRM Service,Alex Chen,True,False,5930.16
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00011,4,Renewal Proposed,2025-02-10,CRM Service,Kenji Tanaka,False,False,6112.84
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00011,5,Revenue Captured,2025-02-13,Installed Base,Sara Novak,True,False,4851.23
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00012,1,Asset Installed,2025-04-10,Installed Base,Maria Garcia,True,False,655.79
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00012,2,Contract Offered,2025-04-14,Billing,Sara Novak,False,False,4169.98
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00012,3,Service Delivered,2025-04-19,Billing,Jon Miller,True,False,4502.43
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00012,4,Renewal Proposed,2025-04-25,Installed Base,Jon Miller,False,False,5940.66
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00012,5,Revenue Captured,2025-04-25,CRM Service,Priya Rao,True,False,6649.9
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00013,1,Asset Installed,2025-05-21,Billing,Maria Garcia,True,False,402.28
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00013,2,Contract Offered,2025-05-27,Installed Base,Alex Chen,False,False,4751.31
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00013,3,Service Delivered,2025-05-29,Installed Base,Thomas Weber,False,False,2211.86
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00013,4,Renewal Proposed,2025-05-29,FSM,Jon Miller,False,False,5202.51
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00013,5,Revenue Captured,2025-06-01,Billing,Sara Novak,False,False,4743.69
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00014,1,Asset Installed,2025-06-22,FSM,Maria Garcia,True,False,2140.68
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00014,2,Contract Offered,2025-06-26,FSM,Priya Rao,False,False,4037.27
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00014,3,Service Delivered,2025-06-30,FSM,Alex Chen,True,False,3284.74
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00014,4,Renewal Proposed,2025-07-02,CRM Service,Jon Miller,False,False,4189.6
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00014,5,Revenue Captured,2025-07-07,FSM,Priya Rao,True,False,7434.85
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00015,1,Asset Installed,2025-05-29,FSM,Nina Patel,True,False,1270.99
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00015,2,Contract Offered,2025-06-04,FSM,Thomas Weber,True,False,1377.42
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00015,3,Service Delivered,2025-06-07,CRM Service,Alex Chen,True,False,7589.52
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00015,4,Renewal Proposed,2025-06-13,FSM,Sara Novak,False,False,2462.73
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00015,5,Revenue Captured,2025-06-13,FSM,Sara Novak,False,True,4258.38
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00016,1,Asset Installed,2025-09-02,CRM Service,Nina Patel,True,False,345.98
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00016,2,Contract Offered,2025-09-02,FSM,Thomas Weber,True,True,1421.64
installedbase2servicerevenue,InstalledBase2ServiceRevenue,INSTALLEDBASE2SERVICEREVENUE-00016,3,Service Delivered,2025-09-02,Installed Base,Nina Patel,False,False,6935.27
