ProcessID,ProcessName,CaseID,EventSequence,EventName,EventDate,SourceSystem,TouchedBy,AutomationFlag,ReworkFlag,EventCost
issue2resolution,Issue2Resolution,ISSUE2RESOLUTION-00001,1,Issue Logged,2025-06-01,Field Service,Alex Chen,False,False,7981.86
issue2resolution,Issue2Resolution,ISSUE2RESOLUTION-00001,2,Triaged,2025-06-05,QMS,Alex Chen,True,False,5509.86
issue2resolution,Issue2Resolution,ISSUE2RESOLUTION-00001,3,Root Cause Assigned,2025-06-10,Warranty,Kenji Tanaka,False,True,3953.81
issue2resolution,Issue2Resolution,ISSUE2RESOLUTION-00001,4,Corrective Action Created,2025-06-11,CRM Service,Priya Rao,True,False,89.87
issue2resolution,Issue2Resolution,ISSUE2RESOLUTION-00001,5,Resolved,2025-06-12,Field Service,Jon Miller,False,False,5701.11
issue2resolution,Issue2Resolution,ISSUE2RESOLUTION-00002,1,Issue Logged,2025-12-19,CRM Service,Thomas Weber,False,False,1359.84
issue2resolution,Issue2Resolution,ISSUE2RESOLUTION-00002,2,Triaged,2025-12-19,Warranty,Alex Chen,False,False,6548.72
issue2resolution,Issue2Resolution,ISSUE2RESOLUTION-00002,3,Root Cause Assigned,2025-12-22,QMS,Jon Miller,False,False,1297.9
issue2resolution,Issue2Resolution,ISSUE2RESOLUTION-00002,4,Corrective Action Created,2025-12-27,Warranty,Jon Miller,True,True,3336.49
issue2resolution,Issue2Resolution,ISSUE2RESOLUTION-00002,5,Resolved,2025-12-29,CRM Service,Maria Garcia,True,True,7565.54
issue2resolution,Issue2Resolution,ISSUE2RESOLUTION-00003,1,Issue Logged,2026-01-09,QMS,Kenji Tanaka,True,False,4063.21
issue2resolution,Issue2Resolution,ISSUE2RESOLUTION-00003,2,Triaged,2026-01-12,CRM Service,Thomas Weber,False,True,7883.68
issue2resolution,Issue2Resolution,ISSUE2RESOLUTION-00003,3,Root Cause Assigned,2026-01-12,Field Service,Nina Patel,True,False,620.21
issue2resolution,Issue2Resolution,ISSUE2RESOLUTION-00003,4,Corrective Action Created,2026-01-17,Field Service,Alex Chen,True,True,7664.0
issue2resolution,Issue2Resolution,ISSUE2RESOLUTION-00003,5,Resolved,2026-01-20,CRM Service,Thomas Weber,False,False,5376.5
issue2resolution,Issue2Resolution,ISSUE2RESOLUTION-00004,1,Issue Logged,2025-08-08,Field Service,Jon Miller,False,False,2801.39
issue2resolution,Issue2Resolution,ISSUE2RESOLUTION-00004,2,Triaged,2025-08-12,Field Service,Sara Novak,True,False,1703.17
issue2resolution,Issue2Resolution,ISSUE2RESOLUTION-00004,3,Root Cause Assigned,2025-08-18,Warranty,Priya Rao,False,False,5397.87
issue2resolution,Issue2Resolution,ISSUE2RESOLUTION-00004,4,Corrective Action Created,2025-08-23,Warranty,Thomas Weber,False,False,797.83
