ProcessID,ProcessName,CaseID,EventSequence,EventName,EventDate,SourceSystem,TouchedBy,AutomationFlag,ReworkFlag,EventCost
lead2order,Lead2Order,LEAD2ORDER-00001,1,Lead Created,2025-09-11,Marketing Automation,Thomas Weber,True,False,5096.55
lead2order,Lead2Order,LEAD2ORDER-00001,2,Qualified,2025-09-16,Marketing Automation,Nina Patel,True,False,3975.75
lead2order,Lead2Order,LEAD2ORDER-00001,3,Opportunity Created,2025-09-17,Marketing Automation,Nina Patel,False,False,2984.12
lead2order,Lead2Order,LEAD2ORDER-00001,4,Quote Sent,2025-09-22,Marketing Automation,Alex Chen,False,False,6342.34
lead2order,Lead2Order,LEAD2ORDER-00001,5,Order Booked,2025-09-26,Marketing Automation,Jon Miller,True,False,615.14
lead2order,Lead2Order,LEAD2ORDER-00002,1,Lead Created,2025-09-26,CRM,Kenji Tanaka,False,False,1344.53
lead2order,Lead2Order,LEAD2ORDER-00002,2,Qualified,2025-09-30,CRM,Thomas Weber,True,False,1843.29
lead2order,Lead2Order,LEAD2ORDER-00002,3,Opportunity Created,2025-10-06,CRM,Jon Miller,True,False,1525.76
lead2order,Lead2Order,LEAD2ORDER-00002,4,Quote Sent,2025-10-08,Marketing Automation,Nina Patel,False,False,6809.53
lead2order,Lead2Order,LEAD2ORDER-00002,5,Order Booked,2025-10-08,CRM,Thomas Weber,False,False,3828.18
lead2order,Lead2Order,LEAD2ORDER-00003,1,Lead Created,2025-01-13,Marketing Automation,Jon Miller,True,False,6497.49
lead2order,Lead2Order,LEAD2ORDER-00003,2,Qualified,2025-01-17,CRM,Nina Patel,True,False,7036.95
lead2order,Lead2Order,LEAD2ORDER-00003,3,Opportunity Created,2025-01-17,CRM,Maria Garcia,True,False,4155.58
lead2order,Lead2Order,LEAD2ORDER-00003,4,Quote Sent,2025-01-19,Marketing Automation,Nina Patel,False,False,3017.7
lead2order,Lead2Order,LEAD2ORDER-00003,5,Order Booked,2025-01-21,Marketing Automation,Maria Garcia,True,False,2572.25
lead2order,Lead2Order,LEAD2ORDER-00004,1,Lead Created,2025-07-31,CRM,Alex Chen,False,False,3403.43
lead2order,Lead2Order,LEAD2ORDER-00004,2,Qualified,2025-08-04,CRM,Thomas Weber,True,True,1412.89
lead2order,Lead2Order,LEAD2ORDER-00004,3,Opportunity Created,2025-08-09,ERP Sales,Jon Miller,True,False,2412.44
lead2order,Lead2Order,LEAD2ORDER-00004,4,Quote Sent,2025-08-13,CRM,Jon Miller,False,False,6295.67
lead2order,Lead2Order,LEAD2ORDER-00004,5,Order Booked,2025-08-14,ERP Sales,Thomas Weber,False,False,2561.89
lead2order,Lead2Order,LEAD2ORDER-00005,1,Lead Created,2025-08-09,Marketing Automation,Alex Chen,False,False,4216.37
lead2order,Lead2Order,LEAD2ORDER-00005,2,Qualified,2025-08-09,CRM,Priya Rao,True,False,1754.99
lead2order,Lead2Order,LEAD2ORDER-00005,3,Opportunity Created,2025-08-15,Marketing Automation,Alex Chen,True,False,5971.18
lead2order,Lead2Order,LEAD2ORDER-00005,4,Quote Sent,2025-08-18,Marketing Automation,Priya Rao,True,False,2214.49
