ProcessID,ProcessName,CaseID,EventSequence,EventName,EventDate,SourceSystem,TouchedBy,AutomationFlag,ReworkFlag,EventCost
market2lead,Market2Lead,MARKET2LEAD-00001,1,Campaign Launched,2025-03-22,Marketing Automation,Alex Chen,True,False,3722.6
market2lead,Market2Lead,MARKET2LEAD-00001,2,Lead Captured,2025-03-28,Marketing Automation,Kenji Tanaka,True,False,5362.92
market2lead,Market2Lead,MARKET2LEAD-00001,3,MQL Scored,2025-03-31,Ad Platforms,Sara Novak,True,True,2801.53
market2lead,Market2Lead,MARKET2LEAD-00001,4,SQL Accepted,2025-03-31,Ad Platforms,Maria Garcia,False,False,1570.31
market2lead,Market2Lead,MARKET2LEAD-00001,5,Opportunity Created,2025-03-31,Web Analytics,Jon Miller,False,False,4017.44
market2lead,Market2Lead,MARKET2LEAD-00002,1,Campaign Launched,2025-09-28,CRM,Sara Novak,False,True,2815.39
market2lead,Market2Lead,MARKET2LEAD-00002,2,Lead Captured,2025-09-29,Ad Platforms,Kenji Tanaka,True,True,2738.85
market2lead,Market2Lead,MARKET2LEAD-00002,3,MQL Scored,2025-09-29,Marketing Automation,Priya Rao,True,False,5833.31
market2lead,Market2Lead,MARKET2LEAD-00002,4,SQL Accepted,2025-10-01,Web Analytics,Kenji Tanaka,True,False,2652.28
market2lead,Market2Lead,MARKET2LEAD-00002,5,Opportunity Created,2025-10-03,Web Analytics,Priya Rao,True,False,139.57
market2lead,Market2Lead,MARKET2LEAD-00003,1,Campaign Launched,2025-11-19,Marketing Automation,Maria Garcia,False,False,6554.19
market2lead,Market2Lead,MARKET2LEAD-00003,2,Lead Captured,2025-11-23,Web Analytics,Nina Patel,False,False,7150.5
market2lead,Market2Lead,MARKET2LEAD-00003,3,MQL Scored,2025-11-29,Ad Platforms,Thomas Weber,False,False,626.22
market2lead,Market2Lead,MARKET2LEAD-00003,4,SQL Accepted,2025-12-01,Ad Platforms,Priya Rao,True,True,5931.69
market2lead,Market2Lead,MARKET2LEAD-00003,5,Opportunity Created,2025-12-01,CRM,Alex Chen,False,False,3324.44
market2lead,Market2Lead,MARKET2LEAD-00004,1,Campaign Launched,2025-04-04,CRM,Priya Rao,True,True,741.62
market2lead,Market2Lead,MARKET2LEAD-00004,2,Lead Captured,2025-04-09,CRM,Nina Patel,True,False,1198.05
market2lead,Market2Lead,MARKET2LEAD-00004,3,MQL Scored,2025-04-15,CRM,Nina Patel,False,False,1903.08
market2lead,Market2Lead,MARKET2LEAD-00004,4,SQL Accepted,2025-04-16,Web Analytics,Nina Patel,False,False,2603.94
market2lead,Market2Lead,MARKET2LEAD-00004,5,Opportunity Created,2025-04-18,CRM,Alex Chen,False,False,7272.39
market2lead,Market2Lead,MARKET2LEAD-00005,1,Campaign Launched,2025-01-06,Marketing Automation,Kenji Tanaka,False,False,3422.18
market2lead,Market2Lead,MARKET2LEAD-00005,2,Lead Captured,2025-01-07,Web Analytics,Jon Miller,False,True,3343.88
market2lead,Market2Lead,MARKET2LEAD-00005,3,MQL Scored,2025-01-07,Ad Platforms,Priya Rao,True,False,3934.31
market2lead,Market2Lead,MARKET2LEAD-00005,4,SQL Accepted,2025-01-10,Marketing Automation,Nina Patel,True,False,5867.62
market2lead,Market2Lead,MARKET2LEAD-00005,5,Opportunity Created,2025-01-15,Marketing Automation,Nina Patel,True,True,2515.87
market2lead,Market2Lead,MARKET2LEAD-00006,1,Campaign Launched,2025-05-22,CRM,Maria Garcia,False,False,1997.4
market2lead,Market2Lead,MARKET2LEAD-00006,2,Lead Captured,2025-05-24,Marketing Automation,Nina Patel,True,False,4319.21
market2lead,Market2Lead,MARKET2LEAD-00006,3,MQL Scored,2025-05-24,Ad Platforms,Thomas Weber,True,False,5442.1
