ProcessID,ProcessName,CaseID,EventSequence,EventName,EventDate,SourceSystem,TouchedBy,AutomationFlag,ReworkFlag,EventCost
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00001,1,Project Created,2025-02-07,Project System,Alex Chen,False,True,2161.42
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00001,2,Engineering Released,2025-02-07,Project System,Jon Miller,False,False,6174.03
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00001,3,Milestone Achieved,2025-02-08,Billing,Thomas Weber,True,False,5215.87
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00001,4,Billed,2025-02-09,ERP CO,Sara Novak,True,False,7722.23
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00001,5,Cash Collected,2025-02-13,Billing,Sara Novak,True,False,1629.93
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00002,1,Project Created,2025-11-28,Billing,Maria Garcia,True,False,75.33
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00002,2,Engineering Released,2025-12-03,ERP CO,Sara Novak,False,False,4783.29
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00002,3,Milestone Achieved,2025-12-04,ERP CO,Maria Garcia,True,False,4848.92
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00002,4,Billed,2025-12-08,PLM,Priya Rao,True,False,6089.2
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00002,5,Cash Collected,2025-12-10,ERP CO,Nina Patel,True,False,976.87
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00003,1,Project Created,2025-02-06,ERP CO,Jon Miller,True,False,1090.47
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00003,2,Engineering Released,2025-02-06,ERP CO,Priya Rao,True,True,3589.37
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00003,3,Milestone Achieved,2025-02-06,Billing,Maria Garcia,True,False,3157.67
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00003,4,Billed,2025-02-09,Project System,Alex Chen,False,False,5100.71
