ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,RecoveryValue,RiskScore,ActionRequired
return2disposition,Return2Disposition,RETURN2DISPOSITION-00001,Return,Service,Returns Process Owner,Thomas Weber,EMEA,US10,Orion Technologies,Disposition Decided,2025-11-16,2025-11-21,2025-11-20,5,4,False,Supplier delay,39764.29,37,True
return2disposition,Return2Disposition,RETURN2DISPOSITION-00002,Return,Service,Returns Process Owner,Thomas Weber,AMER,PL10,Orion Technologies,Inspected,2025-03-09,2025-03-23,2025-03-24,14,15,True,Pricing exception,616231.78,89,True
return2disposition,Return2Disposition,RETURN2DISPOSITION-00003,Return,Service,Returns Process Owner,Kenji Tanaka,APAC,US10,Apex Industries,Disposition Decided,2026-01-09,2026-01-16,2026-01-18,7,9,True,Quality hold,536004.61,74,True
return2disposition,Return2Disposition,RETURN2DISPOSITION-00004,Return,Service,Returns Process Owner,Maria Garcia,AMER,US10,Orion Technologies,Return Authorized,2025-10-12,2025-11-11,2025-11-17,30,36,True,Pricing exception,53314.34,39,True
return2disposition,Return2Disposition,RETURN2DISPOSITION-00005,Return,Service,Returns Process Owner,Priya Rao,APAC,DE20,Global Components,Received,2025-03-28,2025-03-31,2025-03-30,3,2,False,Quality hold,120923.19,9,False
return2disposition,Return2Disposition,RETURN2DISPOSITION-00006,Return,Service,Returns Process Owner,Thomas Weber,EMEA,DE10,Atlas Systems,Return Authorized,2025-09-13,2025-10-13,2025-10-24,30,41,True,Capacity constraint,217813.09,47,True
return2disposition,Return2Disposition,RETURN2DISPOSITION-00007,Return,Service,Returns Process Owner,Thomas Weber,APAC,DE20,Nova Mobility,Inspected,2025-07-19,2025-07-26,2025-07-31,7,12,True,Missing master data,669840.93,83,True
return2disposition,Return2Disposition,RETURN2DISPOSITION-00008,Return,Service,Returns Process Owner,Thomas Weber,APAC,DE20,Apex Industries,Value Recovered,2025-07-28,2025-08-07,2025-08-07,10,10,False,,377871.72,44,False
return2disposition,Return2Disposition,RETURN2DISPOSITION-00009,Return,Service,Returns Process Owner,Kenji Tanaka,APAC,DE10,Nova Mobility,Value Recovered,2025-01-06,2025-01-13,2025-01-13,7,7,False,,153464.7,94,False
return2disposition,Return2Disposition,RETURN2DISPOSITION-00010,Return,Service,Returns Process Owner,Maria Garcia,AMER,DE10,Nova Mobility,Disposition Decided,2025-07-06,2025-07-09,2025-07-09,3,3,False,,564919.95,8,False
return2disposition,Return2Disposition,RETURN2DISPOSITION-00011,Return,Service,Returns Process Owner,Nina Patel,APAC,SG10,Apex Industries,Return Authorized,2025-03-24,2025-04-23,2025-04-04,30,11,False,,496130.69,92,False
