ProcessID,ProcessName,CaseID,EventSequence,EventName,EventDate,SourceSystem,TouchedBy,AutomationFlag,ReworkFlag,EventCost
return2disposition,Return2Disposition,RETURN2DISPOSITION-00001,1,Return Authorized,2025-11-22,WMS,Sara Novak,True,False,1910.92
return2disposition,Return2Disposition,RETURN2DISPOSITION-00001,2,Received,2025-11-24,RMA,Nina Patel,False,True,1164.78
return2disposition,Return2Disposition,RETURN2DISPOSITION-00001,3,Inspected,2025-11-30,WMS,Nina Patel,False,False,7229.09
return2disposition,Return2Disposition,RETURN2DISPOSITION-00001,4,Disposition Decided,2025-12-06,ERP SD,Nina Patel,True,False,3537.47
return2disposition,Return2Disposition,RETURN2DISPOSITION-00001,5,Value Recovered,2025-12-09,QMS,Maria Garcia,True,False,6487.31
return2disposition,Return2Disposition,RETURN2DISPOSITION-00002,1,Return Authorized,2025-03-12,ERP SD,Nina Patel,True,False,4355.23
return2disposition,Return2Disposition,RETURN2DISPOSITION-00002,2,Received,2025-03-14,RMA,Jon Miller,True,False,7502.57
return2disposition,Return2Disposition,RETURN2DISPOSITION-00002,3,Inspected,2025-03-20,ERP SD,Jon Miller,False,True,2303.86
return2disposition,Return2Disposition,RETURN2DISPOSITION-00002,4,Disposition Decided,2025-03-26,QMS,Maria Garcia,True,False,2316.89
return2disposition,Return2Disposition,RETURN2DISPOSITION-00002,5,Value Recovered,2025-03-29,ERP SD,Nina Patel,False,True,2011.35
return2disposition,Return2Disposition,RETURN2DISPOSITION-00003,1,Return Authorized,2026-01-14,QMS,Maria Garcia,False,False,5179.23
return2disposition,Return2Disposition,RETURN2DISPOSITION-00003,2,Received,2026-01-17,RMA,Nina Patel,False,False,4394.38
return2disposition,Return2Disposition,RETURN2DISPOSITION-00003,3,Inspected,2026-01-17,ERP SD,Sara Novak,True,True,3112.13
return2disposition,Return2Disposition,RETURN2DISPOSITION-00003,4,Disposition Decided,2026-01-19,RMA,Maria Garcia,True,False,828.75
return2disposition,Return2Disposition,RETURN2DISPOSITION-00003,5,Value Recovered,2026-01-19,WMS,Jon Miller,True,False,3322.31
return2disposition,Return2Disposition,RETURN2DISPOSITION-00004,1,Return Authorized,2025-10-18,RMA,Priya Rao,False,False,2167.48
return2disposition,Return2Disposition,RETURN2DISPOSITION-00004,2,Received,2025-10-23,WMS,Alex Chen,False,False,4981.25
return2disposition,Return2Disposition,RETURN2DISPOSITION-00004,3,Inspected,2025-10-23,ERP SD,Alex Chen,False,True,5899.06
return2disposition,Return2Disposition,RETURN2DISPOSITION-00004,4,Disposition Decided,2025-10-29,ERP SD,Jon Miller,False,False,5183.93
return2disposition,Return2Disposition,RETURN2DISPOSITION-00004,5,Value Recovered,2025-10-29,RMA,Maria Garcia,True,False,401.83
return2disposition,Return2Disposition,RETURN2DISPOSITION-00005,1,Return Authorized,2025-04-02,ERP SD,Alex Chen,True,False,1217.64
return2disposition,Return2Disposition,RETURN2DISPOSITION-00005,2,Received,2025-04-06,RMA,Kenji Tanaka,True,False,5779.47
return2disposition,Return2Disposition,RETURN2DISPOSITION-00005,3,Inspected,2025-04-06,RMA,Alex Chen,False,False,5377.04
return2disposition,Return2Disposition,RETURN2DISPOSITION-00005,4,Disposition Decided,2025-04-10,ERP SD,Nina Patel,True,False,2589.71
return2disposition,Return2Disposition,RETURN2DISPOSITION-00005,5,Value Recovered,2025-04-12,QMS,Maria Garcia,True,False,3660.95
return2disposition,Return2Disposition,RETURN2DISPOSITION-00006,1,Return Authorized,2025-09-17,WMS,Sara Novak,False,False,4787.24
return2disposition,Return2Disposition,RETURN2DISPOSITION-00006,2,Received,2025-09-21,ERP SD,Nina Patel,False,False,7934.52
return2disposition,Return2Disposition,RETURN2DISPOSITION-00006,3,Inspected,2025-09-23,QMS,Sara Novak,True,False,2522.16
return2disposition,Return2Disposition,RETURN2DISPOSITION-00006,4,Disposition Decided,2025-09-29,WMS,Jon Miller,True,False,5751.55
return2disposition,Return2Disposition,RETURN2DISPOSITION-00006,5,Value Recovered,2025-10-03,QMS,Jon Miller,False,False,4600.79
return2disposition,Return2Disposition,RETURN2DISPOSITION-00007,1,Return Authorized,2025-07-25,ERP SD,Alex Chen,True,False,3289.31
return2disposition,Return2Disposition,RETURN2DISPOSITION-00007,2,Received,2025-07-30,QMS,Alex Chen,True,True,7701.38
return2disposition,Return2Disposition,RETURN2DISPOSITION-00007,3,Inspected,2025-07-30,QMS,Jon Miller,True,False,5429.79
return2disposition,Return2Disposition,RETURN2DISPOSITION-00007,4,Disposition Decided,2025-08-02,ERP SD,Maria Garcia,False,False,1773.73
return2disposition,Return2Disposition,RETURN2DISPOSITION-00007,5,Value Recovered,2025-08-05,ERP SD,Maria Garcia,True,False,7349.95
return2disposition,Return2Disposition,RETURN2DISPOSITION-00008,1,Return Authorized,2025-07-30,RMA,Thomas Weber,False,True,3986.5
return2disposition,Return2Disposition,RETURN2DISPOSITION-00008,2,Received,2025-08-05,QMS,Alex Chen,False,False,3136.77
return2disposition,Return2Disposition,RETURN2DISPOSITION-00008,3,Inspected,2025-08-10,QMS,Jon Miller,True,False,2133.89
