ProcessID,ProcessName,CaseID,EventSequence,EventName,EventDate,SourceSystem,TouchedBy,AutomationFlag,ReworkFlag,EventCost
sop_ibp2execution,S&OP / IBP2Execution,SOP_IBP2EXECUTION-00001,1,Plan Approved,2025-04-29,MES,Thomas Weber,True,True,3284.12
sop_ibp2execution,S&OP / IBP2Execution,SOP_IBP2EXECUTION-00001,2,Constraint Published,2025-05-03,ERP PP,Priya Rao,False,False,5298.73
sop_ibp2execution,S&OP / IBP2Execution,SOP_IBP2EXECUTION-00001,3,Execution Released,2025-05-07,Inventory,Kenji Tanaka,True,False,763.36
sop_ibp2execution,S&OP / IBP2Execution,SOP_IBP2EXECUTION-00001,4,Progress Reviewed,2025-05-09,MES,Priya Rao,False,False,5308.54
sop_ibp2execution,S&OP / IBP2Execution,SOP_IBP2EXECUTION-00001,5,Variance Closed,2025-05-10,Inventory,Kenji Tanaka,False,False,7336.88
sop_ibp2execution,S&OP / IBP2Execution,SOP_IBP2EXECUTION-00002,1,Plan Approved,2025-10-21,ERP PP,Nina Patel,True,False,5102.16
sop_ibp2execution,S&OP / IBP2Execution,SOP_IBP2EXECUTION-00002,2,Constraint Published,2025-10-24,Inventory,Maria Garcia,False,True,402.6
sop_ibp2execution,S&OP / IBP2Execution,SOP_IBP2EXECUTION-00002,3,Execution Released,2025-10-30,IBP,Priya Rao,False,False,5634.67
sop_ibp2execution,S&OP / IBP2Execution,SOP_IBP2EXECUTION-00002,4,Progress Reviewed,2025-11-05,Inventory,Priya Rao,False,False,1049.35
sop_ibp2execution,S&OP / IBP2Execution,SOP_IBP2EXECUTION-00002,5,Variance Closed,2025-11-06,MES,Priya Rao,False,False,7020.45
sop_ibp2execution,S&OP / IBP2Execution,SOP_IBP2EXECUTION-00003,1,Plan Approved,2026-03-27,MES,Thomas Weber,True,True,3890.87
sop_ibp2execution,S&OP / IBP2Execution,SOP_IBP2EXECUTION-00003,2,Constraint Published,2026-03-27,ERP PP,Nina Patel,False,True,587.12
sop_ibp2execution,S&OP / IBP2Execution,SOP_IBP2EXECUTION-00003,3,Execution Released,2026-04-02,ERP PP,Priya Rao,True,False,6006.27
sop_ibp2execution,S&OP / IBP2Execution,SOP_IBP2EXECUTION-00003,4,Progress Reviewed,2026-04-02,MES,Kenji Tanaka,False,False,6592.69
sop_ibp2execution,S&OP / IBP2Execution,SOP_IBP2EXECUTION-00003,5,Variance Closed,2026-04-02,MES,Alex Chen,True,False,2613.28
sop_ibp2execution,S&OP / IBP2Execution,SOP_IBP2EXECUTION-00004,1,Plan Approved,2026-03-19,ERP PP,Maria Garcia,False,False,436.38
sop_ibp2execution,S&OP / IBP2Execution,SOP_IBP2EXECUTION-00004,2,Constraint Published,2026-03-21,IBP,Nina Patel,False,False,1168.82
sop_ibp2execution,S&OP / IBP2Execution,SOP_IBP2EXECUTION-00004,3,Execution Released,2026-03-24,IBP,Nina Patel,False,True,3930.29
sop_ibp2execution,S&OP / IBP2Execution,SOP_IBP2EXECUTION-00004,4,Progress Reviewed,2026-03-25,Inventory,Priya Rao,True,False,7975.79
