ProcessID,ProcessName,CaseID,EventSequence,EventName,EventDate,SourceSystem,TouchedBy,AutomationFlag,ReworkFlag,EventCost
source2contract,Source2Contract,SOURCE2CONTRACT-00001,1,Event Created,2025-04-22,CLM,Alex Chen,True,False,7373.96
source2contract,Source2Contract,SOURCE2CONTRACT-00001,2,RFx Published,2025-04-25,ERP MM,Sara Novak,True,False,6044.18
source2contract,Source2Contract,SOURCE2CONTRACT-00001,3,Supplier Selected,2025-04-29,Sourcing Suite,Nina Patel,True,False,1942.69
source2contract,Source2Contract,SOURCE2CONTRACT-00001,4,Legal Review,2025-05-01,Sourcing Suite,Alex Chen,False,False,1940.26
source2contract,Source2Contract,SOURCE2CONTRACT-00001,5,Contract Signed,2025-05-05,CLM,Sara Novak,False,False,7264.14
source2contract,Source2Contract,SOURCE2CONTRACT-00002,1,Event Created,2025-05-01,Sourcing Suite,Sara Novak,False,False,7937.23
source2contract,Source2Contract,SOURCE2CONTRACT-00002,2,RFx Published,2025-05-06,Supplier Portal,Jon Miller,True,False,1011.3
source2contract,Source2Contract,SOURCE2CONTRACT-00002,3,Supplier Selected,2025-05-09,CLM,Kenji Tanaka,False,False,6317.72
source2contract,Source2Contract,SOURCE2CONTRACT-00002,4,Legal Review,2025-05-12,ERP MM,Sara Novak,True,False,7735.91
source2contract,Source2Contract,SOURCE2CONTRACT-00002,5,Contract Signed,2025-05-14,ERP MM,Jon Miller,False,False,4946.87
source2contract,Source2Contract,SOURCE2CONTRACT-00003,1,Event Created,2025-09-26,CLM,Sara Novak,True,False,2668.14
source2contract,Source2Contract,SOURCE2CONTRACT-00003,2,RFx Published,2025-09-29,CLM,Priya Rao,True,False,1439.97
source2contract,Source2Contract,SOURCE2CONTRACT-00003,3,Supplier Selected,2025-10-04,Supplier Portal,Priya Rao,True,False,3904.01
source2contract,Source2Contract,SOURCE2CONTRACT-00003,4,Legal Review,2025-10-05,ERP MM,Nina Patel,True,False,2226.4
source2contract,Source2Contract,SOURCE2CONTRACT-00003,5,Contract Signed,2025-10-08,CLM,Kenji Tanaka,False,False,1401.23
