ProcessID,ProcessName,CaseID,EventSequence,EventName,EventDate,SourceSystem,TouchedBy,AutomationFlag,ReworkFlag,EventCost
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00001,1,Supplier Invited,2025-12-25,GRC,Nina Patel,False,False,3363.22
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00001,2,Documents Submitted,2025-12-30,ERP Vendor Master,Maria Garcia,True,False,1320.98
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00001,3,Audit Completed,2026-01-02,Sourcing,Maria Garcia,False,False,3576.69
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00001,4,Risk Approved,2026-01-04,GRC,Priya Rao,False,False,3141.83
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00001,5,Supplier Activated,2026-01-09,Sourcing,Sara Novak,True,False,2416.53
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00002,1,Supplier Invited,2026-01-06,ERP Vendor Master,Priya Rao,True,False,943.1
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00002,2,Documents Submitted,2026-01-11,Sourcing,Thomas Weber,False,False,3668.85
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00002,3,Audit Completed,2026-01-13,Supplier Portal,Nina Patel,True,False,7864.77
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00002,4,Risk Approved,2026-01-15,Sourcing,Jon Miller,True,False,897.21
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00002,5,Supplier Activated,2026-01-18,GRC,Jon Miller,True,False,3916.57
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00003,1,Supplier Invited,2025-03-31,ERP Vendor Master,Maria Garcia,True,False,4629.67
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00003,2,Documents Submitted,2025-03-31,ERP Vendor Master,Priya Rao,True,False,3073.14
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00003,3,Audit Completed,2025-04-01,Supplier Portal,Thomas Weber,True,False,6494.94
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00003,4,Risk Approved,2025-04-07,Sourcing,Kenji Tanaka,False,False,7919.2
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00003,5,Supplier Activated,2025-04-13,Supplier Portal,Nina Patel,True,False,2939.06
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00004,1,Supplier Invited,2025-09-14,Supplier Portal,Maria Garcia,False,True,7236.66
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00004,2,Documents Submitted,2025-09-20,GRC,Jon Miller,True,False,6873.99
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00004,3,Audit Completed,2025-09-20,Supplier Portal,Maria Garcia,False,False,2761.7
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00004,4,Risk Approved,2025-09-25,Sourcing,Maria Garcia,False,False,4256.12
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00004,5,Supplier Activated,2025-10-01,Supplier Portal,Kenji Tanaka,True,True,4020.0
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00005,1,Supplier Invited,2025-05-30,Sourcing,Jon Miller,True,False,4061.21
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00005,2,Documents Submitted,2025-06-02,Supplier Portal,Thomas Weber,False,False,5337.21
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00005,3,Audit Completed,2025-06-06,Supplier Portal,Thomas Weber,False,False,1961.66
